File Name,Component RT,Compound Name,Match Factor,Best Hit,Formula,Model Peak Area,Model Peak Height,Base Peak Area,Component Area,Model Peak MZ,Base Peak MZ
11062023_MP_C2.D,5.23601403869372,Octane,97.6307171199071,True,C8H18,255233.840776815,70088.3497525072,255233.840776815,1108025.91861779,43,43
11062023_MP_C1.D,5.23647448110552,Octane,97.6215199402622,True,C8H18,201979.299994196,65246.1514814171,265363.564023266,1151173.12368416,85.09,43.04
MP_010824_AVOC_CC1.D,5.52707019795211,"Cyclotrisiloxane, hexamethyl-",87.1077690132774,True,C6H18O3Si3,711967.84286394,245999.228069397,711967.84286394,1148448.03318506,207.03,207.03
MP_010824_AVOC_T2.D,5.52754154335111,"Cyclotrisiloxane, hexamethyl-",87.0844641302056,True,C6H18O3Si3,537758.485777619,182699.625817016,537758.485777619,868358.050454048,207,207
MP_010824_AVOC_C3.D,5.52787317486367,"Cyclotrisiloxane, hexamethyl-",87.1121541656326,True,C6H18O3Si3,914592.792465035,327037.253472392,914592.792465035,1478425.56588657,207,207
MP_010824_AVOC_T3.D,5.52831967437785,"Cyclotrisiloxane, hexamethyl-",86.79754127443,True,C6H18O3Si3,378064.660860688,134303.416847286,378064.660860688,616736.062433879,207,207
MP_010824_AVOC_C2.D,5.52899541637601,"Cyclotrisiloxane, hexamethyl-",87.0727457406609,True,C6H18O3Si3,1121887.2152763,394321.644322732,1121887.2152763,1811516.4462444,207.03,207.03
MP_010824_AVOC_T4.D,5.52933915167963,"Cyclotrisiloxane, hexamethyl-",87.1161452543892,True,C6H18O3Si3,791592.559311956,274654.384374894,791592.559311956,1280182.79512021,207.03,207.03
MP_010824_AVOC_C1.D,5.530179255331,"Cyclotrisiloxane, hexamethyl-",87.1452900981261,True,C6H18O3Si3,728799.245716228,270527.695148645,728799.245716228,1176412.02190613,207.03,207.03
11062023_MM_T3.D,5.65750190175471,"Cyclotrisiloxane, hexamethyl-",77.7082592798123,True,C6H18O3Si3,27450.5294544067,8342.681640625,27450.5294544067,89792.2107228277,207,207
11062023_MP_C3.D,5.65919996947528,"Cyclotrisiloxane, hexamethyl-",71.8937720821839,True,C6H18O3Si3,3730.47907957458,1522.21875,33920.3614048614,111130.223511993,208.99,207.01
11062023_MM_T1.D,5.65926082051779,"Cyclotrisiloxane, hexamethyl-",86.8147893021008,True,C6H18O3Si3,463316.677601455,153529.265625,463316.677601455,757505.22755499,207.01,207.01
11062023_MM_T2.D,5.65927242610391,"Cyclotrisiloxane, hexamethyl-",86.7924129752116,True,C6H18O3Si3,464187.737518313,158708.6875,464187.737518313,759196.501697127,207.01,207.01
11062023_MM_C2.D,5.65946586742296,"Cyclotrisiloxane, hexamethyl-",87.4675400458617,True,C6H18O3Si3,91.6953442993188,162.835403442383,54661.5988362807,87699.6662513738,175.97,207.01
11062023_MP_T3.D,5.65951290454098,"Cyclotrisiloxane, hexamethyl-",87.3307544072671,True,C6H18O3Si3,76536.7238887478,24814.275390625,76536.7238887478,124686.227965254,207.01,207.01
11062023_MM_C3.D,5.66021486282488,"Cyclotrisiloxane, hexamethyl-",87.3491431285362,True,C6H18O3Si3,37021.2103996735,12501.7138671875,37021.2103996735,57473.1757132365,207.01,207.01
11062023_MP_T2.D,5.66056574946099,"Cyclotrisiloxane, hexamethyl-",87.118848947634,True,C6H18O3Si3,166732.696238586,57039.26953125,166732.696238586,268858.896953399,207.01,207.01
11062023_MP_C1.D,6.06466885889468,"2-Pentanone, 4-hydroxy-4-methyl-",97.1509663801888,True,C6H12O2,76073.9753131325,35830.8726737586,76073.9753131325,208578.035495433,43,43
11062023_MP_T3.D,6.06781117684505,"2-Pentanone, 4-hydroxy-4-methyl-",95.111112731541,True,C6H12O2,71354.2488430554,30646.8182499497,71354.2488430554,185991.137474746,43,43
11062023_MP_T1.D,6.07109806637192,"2-Pentanone, 4-hydroxy-4-methyl-",95.3088588243494,True,C6H12O2,54211.3847824128,24274.3867454239,54211.3847824128,146965.813698476,43.04,43.04
11062023_MP_T2.D,6.07181114094688,"2-Pentanone, 4-hydroxy-4-methyl-",94.1656800517724,True,C6H12O2,51505.3188970928,22897.9933264539,51505.3188970928,147114.801971271,43,43
11062023_MP_C3.D,6.07435179538767,"2-Pentanone, 4-hydroxy-4-methyl-",94.6762330281409,True,C6H12O2,36110.6372502055,16352.4629554714,36110.6372502055,96102.7108319872,43,43
11062023_MM_C3.D,6.07445040073683,"2-Pentanone, 4-hydroxy-4-methyl-",94.3026350217716,True,C6H12O2,32666.5464076703,14683.5904891256,32666.5464076703,86832.8651489081,43,43
11062023_MP_C2.D,6.07485203186874,"2-Pentanone, 4-hydroxy-4-methyl-",94.3998921072622,True,C6H12O2,35767.4941569267,15597.9249913029,35767.4941569267,96168.2957345571,43,43
11062023_MM_C1.D,6.07671040690671,"2-Pentanone, 4-hydroxy-4-methyl-",92.1969990356222,True,C6H12O2,1922.44420803831,906.222412109375,27008.6056744029,63085.8538708941,31,43.07
11062023_MM_T3.D,6.07793328889608,"2-Pentanone, 4-hydroxy-4-methyl-",91.6214605014188,True,C6H12O2,22237.9060521871,10075.5252206293,22237.9060521871,60778.8972027832,43.04,43.04
11062023_MM_C2.D,6.0781957578334,"2-Pentanone, 4-hydroxy-4-methyl-",92.1461745581532,True,C6H12O2,8435.90662791436,4019.52514648438,22238.3988133476,55420.6525028149,101,43
11062023_MP_T2.D,6.40050688670215,"Heptane, 2,4-dimethyl-",82.5152663772538,True,C9H20,22358.9377813487,7118.7343029101,50826.201494364,202585.06209944,71,43
11062023_MP_T2.D,6.40113969928001,"Valeric acid, 2-tetrahydrofurylmethyl ester",71.9879908767431,True,C10H18O3,21657.9852418208,11390.4386735701,22358.9377813487,272117.356848376,43.07,71.08
